rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,data
1477388576329747798,,192956,,1477388576,328723220,'',"""\n$GPGGA,094317.30,5603.98019370,N,00823.34744622,E,4,15,0.7,21.844,M,40.732,M,2.3,0015*71"""
1477388576330483126,,192957,,1477388576,330391673,'',"""\n$GPHDT,122.425,T*37"""
1477388576387685298,,192958,,1477388576,378621201,'',"""\n$GPGGA,094317.35,5603.98013820,N,00823.34742786,E,4,15,0.7,21.842,M,40.732,M,2.3,0015*7F"""
1477388576387739043,,192959,,1477388576,379468496,'',"""\n$GPHDT,122.588,T*31"""
1477388576435028142,,192960,,1477388576,434923984,'',"""\n$GPGGA,094317.40,5603.98008592,N,00823.34739356,E,4,15,0.7,21.834,M,40.732,M,2.4,0015*70"""
1477388576436602757,,192961,,1477388576,436523682,'',"""\n$GPHDT,123.425,T*36"""
1477388576478793868,,192962,,1477388576,478287816,'',"""\n$GPGGA,094317.45,5603.98003704,N,00823.34732802,E,4,15,0.7,21.854,M,40.732,M,2.5,0015*75"""
1477388576481181764,,192963,,1477388576,480978273,'',"""\n$GPHDT,124.110,T*32"""
1477388576532458074,,192964,,1477388576,532011088,'',"""\n$GPGGA,094317.50,5603.97998637,N,00823.34727386,E,4,15,0.7,21.854,M,40.732,M,2.5,0015*77"""
1477388576532476779,,192965,,1477388576,532119337,'',"""\n$GPHDT,123.015,T*31"""
1477388576577984778,,192966,,1477388576,577514553,'',"""\n$GPGGA,094317.55,5603.97993505,N,00823.34722293,E,4,15,0.7,21.863,M,40.732,M,2.5,0015*7F"""
1477388576580309287,,192967,,1477388576,579198263,'',"""\n$GPHDT,124.044,T*32"""
1477388576634896227,,192968,,1477388576,634702292,'',"""\n$GPGGA,094317.60,5603.97987876,N,00823.34718325,E,4,15,0.7,21.868,M,40.732,M,2.6,0015*78"""
1477388576636477714,,192969,,1477388576,636349847,'',"""\n$GPHDT,124.536,T*32"""
1477388576693546751,,192970,,1477388576,677654493,'',"""\n$GPGGA,094317.65,5603.97982428,N,00823.34712464,E,4,15,0.7,21.865,M,40.732,M,2.7,0015*7B"""
1477388576693576541,,192971,,1477388576,679141116,'',"""\n$GPHDT,124.873,T*3E"""
1477388576729033264,,192972,,1477388576,728948125,'',"""\n$GPGGA,094317.70,5603.97976895,N,00823.34706889,E,4,15,0.7,21.864,M,40.732,M,2.7,0015*75"""
1477388576730613042,,192973,,1477388576,730391862,'',"""\n$GPHDT,124.260,T*36"""
1477388576781567916,,192974,,1477388576,777946261,'',"""\n$GPGGA,094317.75,5603.97970056,N,00823.34703500,E,4,15,0.7,21.882,M,40.732,M,2.8,0015*7F"""
1477388576781746820,,192975,,1477388576,779598493,'',"""\n$GPHDT,124.576,T*36"""
